epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
151,0.001558,0.000497,0.002055,0.001673,0.002184,1.0,44.2
152,0.001553,0.000495,0.002048,0.001657,0.002169,1.0,44.8
153,0.001557,0.000497,0.002054,0.001671,0.002188,1.0,44.1
154,0.001552,0.000498,0.002049,0.001663,0.00218,1.0,44.6
155,0.001548,0.0005,0.002048,0.001651,0.002172,1.0,44.1
156,0.001554,0.0005,0.002054,0.001655,0.002173,1.0,45.2
157,0.001544,0.000499,0.002043,0.00166,0.002181,1.0,44.7
158,0.00155,0.000501,0.00205,0.001665,0.002188,1.0,44.6
159,0.001544,0.000501,0.002045,0.001652,0.002174,1.0,45.5
160,0.00154,0.000501,0.002041,0.001655,0.002171,1.0,45.2
161,0.001544,0.000503,0.002047,0.001646,0.002168,1.0,45.2
162,0.00154,0.000503,0.002043,0.001639,0.002156,1.0,44.2
163,0.001544,0.000503,0.002047,0.00164,0.002164,1.0,45.1
164,0.001536,0.000504,0.002041,0.001644,0.002169,1.0,44.5
165,0.001537,0.000506,0.002043,0.001689,0.002214,1.0,43.5
166,0.001535,0.000505,0.00204,0.00164,0.002166,1.0,44.2
167,0.001537,0.000508,0.002045,0.001696,0.002226,1.0,44.3
168,0.001533,0.000507,0.002039,0.001634,0.002157,1.0,44.0
169,0.001533,0.000506,0.002039,0.001654,0.002185,1.0,45.0
170,0.001529,0.000507,0.002036,0.001636,0.002167,1.0,44.2
171,0.001529,0.000509,0.002038,0.001635,0.002151,1.0,44.5
172,0.001527,0.000507,0.002034,0.001644,0.002173,1.0,44.6
173,0.001528,0.00051,0.002038,0.001637,0.002155,1.0,44.2
174,0.001529,0.000509,0.002038,0.001645,0.002162,1.0,44.2
175,0.001524,0.000509,0.002033,0.001639,0.002174,1.0,44.6
176,0.001524,0.00051,0.002034,0.001643,0.00217,1.0,43.9
177,0.001526,0.000509,0.002035,0.001648,0.00217,1.0,44.0
178,0.001523,0.000511,0.002034,0.001641,0.002168,1.0,45.0
179,0.001519,0.000511,0.002029,0.001623,0.002145,1.0,44.7
180,0.001518,0.000509,0.002027,0.001623,0.00215,1.0,44.8
181,0.001516,0.000511,0.002027,0.001638,0.002171,1.0,44.8
182,0.001522,0.000513,0.002035,0.001629,0.002155,1.0,43.8
183,0.001521,0.000511,0.002032,0.001618,0.002153,1.0,44.7
184,0.001519,0.000512,0.00203,0.001626,0.002156,1.0,44.9
185,0.001516,0.000512,0.002028,0.001633,0.002165,1.0,45.3
186,0.001516,0.000513,0.002029,0.001614,0.002139,1.0,44.8
187,0.001512,0.000514,0.002026,0.001624,0.002147,1.0,44.9
188,0.001511,0.000511,0.002022,0.001634,0.002164,1.0,44.0
189,0.001514,0.000514,0.002028,0.001614,0.002146,1.0,45.1
190,0.001509,0.000513,0.002022,0.001615,0.002148,1.0,44.6
191,0.00151,0.000514,0.002024,0.001614,0.002142,1.0,44.5
192,0.001512,0.000514,0.002027,0.001648,0.002178,1.0,44.7
193,0.001509,0.000516,0.002024,0.001615,0.002149,1.0,44.7
194,0.001508,0.000514,0.002022,0.001616,0.002143,1.0,45.0
195,0.001507,0.000514,0.002021,0.00161,0.002147,1.0,47.1
196,0.001504,0.000515,0.002019,0.00161,0.002145,1.0,45.0
197,0.001503,0.000515,0.002018,0.001607,0.002138,1.0,45.5
198,0.001506,0.000515,0.002021,0.001606,0.002137,1.0,45.5
199,0.001504,0.000515,0.002019,0.00161,0.002146,1.0,44.7
200,0.0015,0.000515,0.002015,0.001609,0.002141,1.0,44.5
